Afghanistan,AFG,23/07/1905,47.8,Asia
Albania,ALB,23/07/1905,4.9,Europe
Algeria,DZA,23/07/1905,8,Africa
Angola,AGO,23/07/1905,67.5,Africa
Argentina,ARG,23/07/1905,3.7,South America
Armenia,ARM,23/07/1905,3.5,Asia
Australia,AUS,23/07/1905,2.5,Oceania
Austria,AUT,23/07/1905,2.5,Europe
Azerbaijan,AZE,23/07/1905,2.5,Asia
Bangladesh,BGD,23/07/1905,11.4,Asia
Barbados,BRB,23/07/1905,3.4,North America
Belarus,BLR,23/07/1905,2.5,Europe
Belgium,BEL,23/07/1905,2.5,Europe
Belize,BLZ,23/07/1905,7.4,Central America
Benin,BEN,23/07/1905,7.4,Africa
Bolivia,BOL,23/07/1905,13.9,South America
Bosnia and Herzegovina,BIH,23/07/1905,2.5,South America
Botswana,BWA,23/07/1905,21.9,Africa
Brazil,BRA,23/07/1905,4.1,South America
Brunei,BRN,23/07/1905,5.9,Asia
Bulgaria,BGR,23/07/1905,3,Europe
Burkina Faso,BFA,23/07/1905,18,Africa
Cambodia,KHM,23/07/1905,6.3,Asia
Cameroon,CMR,23/07/1905,6.7,Africa
Canada,CAN,23/07/1905,2.5,North America
Cape Verde,CPV,23/07/1905,17.7,Africa
Central African Republic,CAF,23/07/1905,52.2,Africa
Chad,TCD,23/07/1905,32.7,Africa
Chile,CHL,23/07/1905,2.6,South America
China,CHN,23/07/1905,2.5,Asia
Colombia,COL,23/07/1905,8.2,South America
Congo,COG,23/07/1905,31.6,Africa
Costa Rica,CRI,23/07/1905,3.4,Central America
Cote d'Ivoire,CIV,23/07/1905,4.4,Africa
Croatia,HRV,23/07/1905,6.8,Europe
Cuba,CUB,23/07/1905,2.5,North America
Cyprus,CYP,23/07/1905,2.5,Europe
Czechia,CZE,23/07/1905,2.5,Europe
Democratic Republic of Congo,COD,23/07/1905,39.8,Africa
Denmark,DNK,23/07/1905,2.5,Europe
Djibouti,DJI,23/07/1905,13.5,Africa
Dominica,DMA,23/07/1905,6.9,North America
Dominican Republic,DOM,23/07/1905,6.7,North America
East Asia and Pacific (WB),WB,23/07/1905,4.0447993,N/A
East Timor,TLS,23/07/1905,26.2,Asia
Ecuador,ECU,23/07/1905,15.4,South America
Egypt,EGY,23/07/1905,5.1,Asia
El Salvador,SLV,23/07/1905,7.7,North America
Estonia,EST,23/07/1905,2.5,Europe
Eswatini,SWZ,23/07/1905,11,Africa
Ethiopia,ETH,23/07/1905,24.9,Africa
Europe and Central Asia (WB),ECA,23/07/1905,2.5896142,N/A
European Union (27),EU,23/07/1905,2.5235953,N/A
Fiji,FJI,23/07/1905,5.7,Oceania
Finland,FIN,23/07/1905,2.5,Europe
France,FRA,23/07/1905,2.5,Europe
French Polynesia,PYF,23/07/1905,4,Oceania
Gabon,GAB,23/07/1905,17.2,Africa
Gambia,GMB,23/07/1905,21.6,Africa
Georgia,GEO,23/07/1905,7.6,Asia
Germany,DEU,23/07/1905,2.5,Europe
Ghana,GHA,23/07/1905,4.1,Africa
Greece,GRC,23/07/1905,2.5,Europe
Guatemala,GTM,23/07/1905,16,North America
Guyana,GUY,23/07/1905,4.9,South America
Haiti,HTI,23/07/1905,47.2,North America
High-income countries,HIC,23/07/1905,2.6914523,N/A
Honduras,HND,23/07/1905,15.3,North America
Hong Kong,HKG,23/07/1905,2.5,Asia
Hungary,HUN,23/07/1905,2.5,Europe
Iceland,ISL,23/07/1905,2.5,Europe
India,IND,23/07/1905,16.3,Asia
Indonesia,IDN,23/07/1905,6.5,Asia
Iran,IRN,23/07/1905,4.1,Asia
Iraq,IRQ,23/07/1905,15.9,Asia
Ireland,IRL,23/07/1905,2.5,Europe
Israel,ISR,23/07/1905,2.5,Asia
Italy,ITA,23/07/1905,2.5,Europe
Jamaica,JAM,23/07/1905,6.9,North America
Japan,JPN,23/07/1905,3.2,Asia
Jordan,JOR,23/07/1905,16.9,Asia
Kazakhstan,KAZ,23/07/1905,2.5,Asia
Kenya,KEN,23/07/1905,26.9,Africa
Kiribati,KIR,23/07/1905,4.2,Oceania
Kuwait,KWT,23/07/1905,2.7,Asia
Kyrgyzstan,KGZ,23/07/1905,5.3,Asia
Laos,LAO,23/07/1905,5.1,Asia
Latin America and Caribbean (WB),WB,23/07/1905,7.791291,N/A
Latvia,LVA,23/07/1905,2.5,Europe
Lebanon,LBN,23/07/1905,10.9,Asia
Lesotho,LSO,23/07/1905,34.7,Africa
Liberia,LBR,23/07/1905,38.3,Africa
Lithuania,LTU,23/07/1905,2.5,Europe
Low-income countries,LIC,23/07/1905,30.760487,N/A
Lower-middle-income countries,LMIC,23/07/1905,12.61264,N/A
Luxembourg,LUX,23/07/1905,2.5,Europe
Macao,MAC,23/07/1905,4.8,Asia
Madagascar,MDG,23/07/1905,48.5,Africa
Malawi,MWI,23/07/1905,17.8,Africa
Malaysia,MYS,23/07/1905,2.5,Asia
Mali,MLI,23/07/1905,9.8,Africa
Malta,MLT,23/07/1905,2.5,Europe
Mauritania,MRT,23/07/1905,10.1,Africa
Mauritius,MUS,23/07/1905,7.8,Africa
Mexico,MEX,23/07/1905,6.1,Central America
Middle East and North Africa (WB),MENA,23/07/1905,8.563551,N/A
Middle-income countries,MIC,23/07/1905,8.895556,N/A
Mongolia,MNG,23/07/1905,3.6,Asia
Montenegro,MNE,23/07/1905,2.5,Europe
Morocco,MAR,23/07/1905,5.6,Africa
Mozambique,MOZ,23/07/1905,32.7,Africa
Myanmar,MMR,23/07/1905,3.1,Asia
Namibia,NAM,23/07/1905,18,Africa
Nepal,NPL,23/07/1905,5.5,Asia
Netherlands,NLD,23/07/1905,2.5,Europe
New Caledonia,NCL,23/07/1905,6.8,Oceania
New Zealand,NZL,23/07/1905,2.5,Oceania
Nicaragua,NIC,23/07/1905,18.6,North America
Nigeria,NGA,23/07/1905,12.7,Africa
North America (WB),NA,23/07/1905,2.5,N/A
North Korea,PRK,23/07/1905,41.6,Asia
North Macedonia,MKD,23/07/1905,3.3,Europe
Norway,NOR,23/07/1905,2.5,Europe
Oman,OMN,23/07/1905,9.8,Asia
Pakistan,PAK,23/07/1905,16.9,Asia
Panama,PAN,23/07/1905,5.8,Central America
Papua New Guinea,PNG,23/07/1905,21.6,Oceania
Paraguay,PRY,23/07/1905,8.7,South America
Peru,PER,23/07/1905,8.3,South America
Philippines,PHL,23/07/1905,5.2,Asia
Poland,POL,23/07/1905,2.5,Europe
Portugal,PRT,23/07/1905,2.5,Europe
Romania,ROU,23/07/1905,2.5,Europe
Russia,RUS,23/07/1905,2.5,Asia
Rwanda,RWA,23/07/1905,35.8,Africa
Saint Vincent and the Grenadines,VCT,23/07/1905,7.6,North America
Samoa,WSM,23/07/1905,4.4,Oceania
Sao Tome and Principe,STP,23/07/1905,13.5,Africa
Saudi Arabia,SAU,23/07/1905,3.7,Asia
Senegal,SEN,23/07/1905,7.5,Africa
Serbia,SRB,23/07/1905,3.3,Europe
Sierra Leone,SLE,23/07/1905,27.4,Africa
Slovakia,SVK,23/07/1905,3.8,Europe
Slovenia,SVN,23/07/1905,2.5,Europe
Solomon Islands,SLB,23/07/1905,18.1,Oceania
Somalia,SOM,23/07/1905,53.1,Africa
South Africa,ZAF,23/07/1905,6.9,N/A
South Asia (WB),SA,23/07/1905,15.897266,N/A
South Korea,KOR,23/07/1905,2.5,Asia
Spain,ESP,23/07/1905,2.5,Europe
Sri Lanka,LKA,23/07/1905,3.4,Asia
Sub-Saharan Africa (WB),SSA,23/07/1905,20.901157,N/A
Sudan,SDN,23/07/1905,12.8,Africa
Suriname,SUR,23/07/1905,8.2,South America
Sweden,SWE,23/07/1905,2.5,Europe
Switzerland,CHE,23/07/1905,2.5,Europe
Tanzania,TZA,23/07/1905,22.6,Africa
Thailand,THA,23/07/1905,8.8,Asia
Togo,TGO,23/07/1905,18.8,Africa
Trinidad and Tobago,TTO,23/07/1905,7.5,North America
Tunisia,TUN,23/07/1905,3.1,Africa
Turkey,TUR,23/07/1905,2.5,Asia
Turkmenistan,TKM,23/07/1905,3.5,Asia
Ukraine,UKR,23/07/1905,2.8,Asia
United Arab Emirates,ARE,23/07/1905,5.6,Asia
United Kingdom,GBR,23/07/1905,2.5,Europe
United States,USA,23/07/1905,2.5,North America
Upper-middle-income countries,UMIC,23/07/1905,3.9145021,N/A
Uruguay,URY,23/07/1905,2.5,South America
Uzbekistan,UZB,23/07/1905,2.5,Asia
Vanuatu,VUT,23/07/1905,11.9,Oceania
Venezuela,VEN,23/07/1905,22.9,South America
Vietnam,VNM,23/07/1905,5.7,Asia
World,OWID_WRL,23/07/1905,9.3,N/A
Yemen,YEM,23/07/1905,47.3,Asia
Western Sahara,EH,23/07/1905,9.6,Africa
Eritrea,ER,23/07/1905,12.1,Africa
Zimbabwe,ZW,23/07/1905,22.43,Africa
Zambia,ZM,23/07/1905,19.14,Africa
Uganda,UG,23/07/1905,25.97,Africa
South Sudan,SS,23/07/1905,16.42,Africa
Niger,NG,23/07/1905,25.32,Africa
Libya,LYA,23/07/1905,12.52,Asia
Greenland,GND,23/07/1905,3.42,Oceania
Taiwan,TWN,23/07/1905,5.41,Asia
